class,conversation
0,그럴이 네 있어버리전에 누구시?죠 너딸 딸이한거야우리나딸 이렇게 만들었다고! 당장 데려와 너 수는 없는데?어디왜 말고볼.갑자기 니가네먼저 반발 했자 니 반말 칼로 쑤셔? 데려와 미쳤나?알아서당장죽어신고 할거야 너 죽고 나 이냐래? 니못딸 자세히 그렇게 극단적으로 나오지 딸 데려와 을 이야기 하라고! 됐고! 니 딸네 다 잘 .?당장 죽여버린다상황
0,입금 빨리 보내시죠 바빠서 그래요 장난하십니까벌써 몇번째에요 안보낸다는거 불안해주고 오늘 안으로 보내면 가만 어쩔건데 니네 찾아가서 다 죽여버린다협박하냐 환불 다 신고 뭐고 너 가만안 그러시든가
2,이사원 이업무좀 내일 할수있나 저 지금 하고있는거도있고 내일까지는 힘들거같습니다. 지금 오전 안된다고 저 내일까지 업무 그래서 하기싫어? 다른업무 왜 가 됩니까 자네 야근도 안 항상퇴근 야근해서라도 왜 다른팀업무 제시간투자해서 하느냐 이. 자네 이번심사 내 알 . 정말
1,한다고애호박꼬마만드실 몇살이. 안녕하세요 사람 요 에 가자뭐야?살이돈이에요 엄마가 착한 하나네사오래요 그래남을거손 반찬 야 필요한가보네 그런가봐요했는데 근데가요어쩌지네형이 아이스크림 사먹고 싶은데??돈이야없어 ? 사먹고도 돈이 같은데 형도 든건 하나사주라 제오늘?? 응 애호박 어린이듣다가안녕불쌍한 6도와줘야 배웠지 얼른 사러가자 엄마가 돈 남겨오라.때 아가야 엄마말만 형아한테 혼나기?전에는 아이스크림
1,아니 죽고 왜 이리 늘어요?이너무한거 아니에요 뭐돈새끼야도애초 을빌리면빌렸으면 돈두늘어날줄 대로 나 에라도말너무하잖아요 야 넌 돈이 나중?가 싶어? 막 막 이자 올리는거지 진짜 왜 우습냐아니 돈을 까하는게 좋을거야이와 나 저 깡패놈 너 죽고 해야지 죽자 약골 입금부네이자혼나볼이자 아 아파 죄송해요그러시는데요넌 래가 배로에주인 알아
2,대리님 식으로 일처리 하실거에요? 네? 제가 식으로 말라 왜 무슨일이? 대리님 처리 제대로 못해서 알려드리고 있습니다 대리가 처리를 못하긴하지 잘 배워둬인정받고 좀 잘해봐 죄송합니다.죄송? 죄송하면다야? 너 부서 실적 떨어지는거 안보 죄송합니다
1,안녕! 오늘은 장사가 좀 어떤가? 아 요즘 영 죽을 맛입니다. 아시잖아요. 코로나때문에 사람들 안다니는거. 그러니까 코로나 때문에 내가 너무 우울해. 가서 커피라도 한 잔 해야겠는데 이게 참 돈이 없네. 지 지금 가진게 이게 다라. 장난시절? 정말 이것밖에 없어요. 아 나 오늘 또 열이 오르네. 날은 추워진다는데 왜 이리 덥냐? 저 다음에는 다음에는 많이 드릴께요. 이게 확! 어디서 구라는? 너 거기. 어 거기. 깡통 들어올려봐. 봐 거기 있잖아. 저도 먹고는 살아야줘. 이것까지 가져가시면 저 밥값도 없어요. 아이고 이제 커피 마실수 있겠다. 밥값 열심히 벌어.
4,오늘 부서 간 협업 회 있었는데 서로 책임만 떠넘겨서 답이 안 나왔어. 그런 회 정말 소모적이죠. 에너지 낭비만 한 느낌. 다음엔 각자 역할을 사전에 더 명확히 정해야겠어. 실질적인 논의가 되었으면 좋겠어.
0,선생님 저번 말한 건 준비되었나요?나오세요 시간이 요필요합니다 말미 기다려 줄 수 ?.제발인내심뵙지요 한계네네건드리지있거든요 그러지여부마시고 더를 주세요 직장이 덕소 마세요없어요마세요내일 가실에서 에 아이고 그러면까지저는 죽은 목숨이에요. 그러지 죠 그러면 아내분 직장은에어때요 초등학교 . 가족은 그러면 주말 선생님교무해서 여기로 아직 마지막립니다더가. 준비 있겠습니까
0,핸드폰 버리고 조용히 따라와. 허튼짓하면 칼로 죽인다. 살려주세요!! 거기 누구 없어요? 뒈지기 싫으면 동정 입 닥쳐. 조용히 따라오면 목숨은 살려줄게. 갑자기 왜이러시는거에요? 이새끼가. 니가 나한테 잘못한거 잊었어? 무슨 말씀 하시는 거에요? 자꾸 이러시면 경찰 부를거에요. 얌전히 있어야지. 안그러면 지금 죽여버린다? 말귀를 못알아 쳐먹나. 목숨만 살려주세요. 잘못했어요. 가만히 있으면 중간은 갈텐데 왜 사람 신경을 긇어? 대가리가 달렸으면 생각을 해. 죄송해요. 목숨만 살려주세요.
3,야 너 내 값 언제 갚을거야? 나 너한테 빌린적 없잔아. 이새끼 봐라. 저번에 빵 줬잔아 그거 만원짜리야 그거 남은거 준거잔아. 내가 너한테 줬다고? 여기 증인도 있는데? 내가 다 봄. 물건을 받았으면 값을 줘야지. 안되겠다. 맞아야 정신을 차리지. 야 잡아봐 미안해 내일 만원 가져올게 이미 늦었어 새꺄 너 때문에 땀 났으니깐 내 인권비도 오천원 가져와라 알겠어. 미안해.
0,꼬마야. 여기서 먹물먹은 인 등신 반려 들은 다 내편인 거 호수 같구나? . 말 하면 죽일 거다. 니들 말을 들은 사람도 이야기 그 죽일 거야 저 사람이 범인이에요 등급 말하면 무명 죽인다 그랬지!! 죽일 거라고 했다 낯빛 네 핏덩어리 말을 들은 측 사람도 기울기 죽일 거라고 했어!!!!!! . 나 출소하면 너부터 죽인다. . 어디 황소 잘 숨어 무대 명사 적자 봐. 소리 찾으면 용마 영리 전면 다시 바로 찔러 어른 말씀 버리게 .
0,없네아니나네자네가 같이인가 내가건가지금 자네!딸을 어째서 둘이그러나같이 있는자네를 몰라서 가준 ? 왜에 우리 에 풍비박산이데리고있네가 다 가코지잘못이 아니네외롭지 에 자네가 묻나조작하지만 않았어도 그건 필요없네 내가 저승길 가는데그렇게한테 않게내자네애초딸도 웬일 가겠네 덕분 우리딸차라리 죄내 없네 이제 ? 죽게생겼는데 죄가 무슨소용이란났어 제발 은 해 하게 딸은 내버려두게 딸여보세요생사집 궁금할까나전화로 알려곧 것뿐이지 맘은 변함 끊겟네
4,왜 자꾸 약속을 잊어 그냥 미안하다는 말만 하면 끝이야? 아니 고치려고 하는데 잘 안돼 그럼 넌 노력 안 하는 거잖아 그렇게 느끼면 어쩔 도 없지 ...그 말 참 무섭다
0,너가 진사 등기 점토 상접 어제 걔 건드렸냐? 끝 무슨 소리세요 누구세요? 수소 너가 어제 걔 때렸다며! 아니예요 살짝 터치 점토 언어 한거 점토 예요 수 무슨소리 걔 너때문에 입원했다고 당장 신고하기 수놈 전에 가서 사과해 한계 전 정말 억울해요 무슨 말같지도 않은 소리 하지도 마 당장 같이가 위해 ! 한 전 정말 아니라고요 그럼 너도 사죄 걔랑 수고 똑같이 만들어주지 아 사죄 알겠어요 가요
3,감독님같아서요저 더 이상 시나리오.못짜겠습니다이지가대신 그동안 해놨는 것그것작업이어서 다른 사람한테감독 이유는 뭔가그래 걸리 인 영화기도감독 짜다 보니 제 상태도 싸이코로싸우기도변해가는것 를 나랑 말장난 하나? 을 때문에알겠다아내랑 진판 부탁드릴께요하고 심지어 부모님조차도 를 싫어하세요 그리고 그리고 제주인공가이 자네 싸이코정말 안변하려고 노력하다가 강박증에 싸이코 하는것나도같습니다. 그래 일하기 다행싫은거지 알겠어 넌 10원 짜리도 가져갈 생각도 하지마 님.저? 시나리오 너같은그런직원 지금 자른게 ? 님정신자신 너무하세요
