topic,conversation
영화 속 폭력적인 장면 리뷰,"야 어제 그 영화 액션 장면 진짜 화려하더라 근데 너무 잔인하지 않았어? 망치로 사람 치는 거 보고 깜짝 놀랐잖아
맞아 맞아 나도 눈살 찌푸려졌어 그렇게까지 자세하게 보여줄 필요가 있었나 싶어 액션은 인정하지만 폭력 수위는 좀 너무했어
그러니까 그리고 그 악당 '네놈의 숨통을 끊어주마' 할 때 진짜 무서웠어 말투도 그렇고 분위기가 장난 아니더라
오 맞아! 그 대사 나도 소름 돋았어 현실에서 들으면 진짜 공포스러울 것 같아 배우 연기도 너무 실감 났어
그치? 영화니까 가능한 거겠지만 그래도 보면서 불편한 건 사실이야 다음엔 좀 덜 폭력적인 영화 보자
나도 동감 액션은 좋지만 너무 잔인한 건 좀 그래 아니면 코미디 영화나 가볍게 볼 수 있는 걸로 보자
좋아! 오랜만에 웃으면서 스트레스 풀고 싶다 팝콘 먹으면서 신나는 영화 보는 것도 괜찮고"
영화 속 위협적인 대사 리뷰,"그 영화에서 '네 모든 걸 빼앗아주겠다'는 악당 대사 들었어? 진짜 섬뜩하더라 어떻게 저런 말을 그렇게 쉽게 할 수 있지?
응 들었어 진짜 악역 제대로 연기하더라 그 대사 때문에 주인공이 더 불쌍하게 느껴졌어 어떻게 저런 상황을 이겨낼까 싶고
맞아 그리고 그 협박하는 눈빛도 잊을 수가 없어 진짜 무서웠어 나는 그런 장면 보면 나까지 불안해지더라
나도 영화 보면서 나도 모르게 주먹 쥐고 봤어 주인공 제발 무사하라고 속으로 응원하고
그만큼 몰입이 잘 됐다는 거겠지? 불편하긴 했지만 영화 자체는 재미있었어 배우들 연기도 좋았고
그건 인정 근데 다음에는 좀 마음 편하게 볼 수 있는 영화 보고 싶어 너무 긴장했더니 피곤해
나도 같은 생각이야 액션 스릴러는 당분간 쉬고 로맨틱 코미디 같은 거 보자 달달한 거 보면서 힐링하고 싶어"
영화 속 폭력적인 장면 리뷰,"야 너 그 문제의 영화 봤어? 폭력 묘사가 상상 초월이라던데 얼마나 심해?
응 봤어 초반부터 장난 아니더라 사람 막 칼로 찌르고 피 튀기고... 눈 뜨고 보기 힘들 정도였어
헐... 나는 그런 거 진짜 못 보는데 그래도 스토리가 재밌다는 평이 있어서 고민 중이야 볼까 말까
음... 스토리는 흥미로울 수도 있겠지만 폭력 수위는 감안해야 할 거야 비위 약하면 진짜 힘들 수도 있어
그럼 다른 볼거리는 없어? 액션 말고 뭐 감동적인 장면이나 아니면 웃긴 장면이라도 좀 있으면 괜찮을 텐데
액션 자체는 엄청나게 리얼하고 긴장감 넘친다고 하더라고 근데 폭력적인 장면 비중이 꽤 커
흐음... 그럼 좀 더 고민해 봐야겠다 괜히 봤다가 며칠 동안 악몽 꾸는 건 싫은데
맞아 무리해서 볼 필요는 없어 다음에 우리 같이 다른 재밌는 영화 찾아보자 코미디나 판타지 같은 걸로"
영화 속 위협적인 대사 리뷰,"그 영화 주인공 마지막 대사 기억나? '이제 끝이다'라고 하는 거 뭔가 뭉클하더라 그동안 고생했던 게 주마등처럼 스쳐 지나가면서
응 그 한마디에 모든 감정이 다 담겨 있는 것 같았어 주인공 표정도 결연해서 더 인상 깊었고
맞아 그 대사 덕분에 영화의 여운이 더 깊게 남았어 깔끔하게 마무리되는 느낌이라 좋았어
근데 그전까지 주인공이 너무 힘들게 살아와서 좀 안쓰럽기도 했어 악당 너무 잔인하고
그랬지 그래도 결국 복수에 성공해서 다행이야 보면서 나도 모르게 응원했잖아
나도 주인공 감정에 이입해서 봤어 역시 마지막에 통쾌하게 이기는 스토리는 언제 봐도 속 시원해
맞아 그래서 이런 액션 복수극을 좋아하는 건가 봐 다음에도 비슷한 스타일 영화 나오면 같이 보자"
영화 속 폭력적인 장면 리뷰,"최근 영화들 왜 이렇게 폭력적인 장면이 많이 나오는 것 같지? 보기가 점점 힘들어져
나도 그렇게 느껴 뭔가 더 자극적인 걸 보여주려고 하는 것 같아 심지어 드라마도 폭력 수위가 높아지는 것 같고
맞아 미디어의 영향이 걱정돼 특히 어린애들이 무분별하게 이런 거 볼까 봐
그러게 부모님들이 더 신경 써야 할 부분인 것 같아 나는 너무 현실과 동떨어진 폭력 묘사는 별로더라
맞아 너무 과장되면 오히려 몰입이 안 돼 적당히 현실적인 액션이 더 와닿는 것 같아
나도 동감 너무 잔인하거나 혐오스러운 장면은 그냥 넘겨버리고 싶어
그러게 우리 앞으로 영화 고를 때 좀 더 신중하게 골라야겠다 예고편 같은 거 꼼꼼히 보고"
영화 속 위협적인 대사 리뷰,"그 영화 악당 '네 가족까지 모조리 없애버리겠다'고 협박하는 거 듣고 진짜 소름 돋았어 너무 잔인한 말 아니야?
헐... 진짜 최악의 악당이다 어떻게 저런 말을... 주인공 얼마나 무서웠을까 상상도 안 돼
맞아 그런 악당은 진짜 마지막에 처참하게 응징당해야 하는데 그래야 속이 시원할 것 같아
나도 결말이 어떻게 될지 계속 궁금해하면서 봤어 주인공이 꼭 이기길 바라면서
결국 악당은 벌받아서 다행이었지 권선징악 스토리는 역시 짜릿해
근데 현실에서는 저런 끔찍한 일이 절대 일어나면 안 될 텐데 영화는 영화일 뿐이지만
맞아 그래도 보면서 스트레스는 풀렸어 악당이 워낙 강렬해서 그런가 봐 다음엔 좀 순한 영화 보자"
영화 속 폭력적인 장면 리뷰,"야 너 그 영화 마지막 격투씬 봤어? 진짜 처절하더라 둘 다 피투성이 돼서 싸우는데 너무 심했어
응 봤어 액션은 진짜 리얼했는데 보면서 좀 힘들었어 너무 아파 보이고... 굳이 그렇게까지 보여줘야 하나 싶기도 하고
맞아 나도 눈살 찌푸려졌어 액션 영화 좋아하지만 가끔은 너무 과한 폭력은 좀 거부감 들어
그러니까 적당한 선에서 긴장감 넘치는 액션이 더 좋은 것 같아 너무 잔인한 건 보고 나서 기분도 찝찝하고
나도 다음에는 좀 스타일리시한 액션 영화나 아니면 코미디 액션 같은 걸로 보자 웃으면서 볼 수 있는 거
좋아! 완전 동감 너무 심각한 영화는 이제 좀 피하고 싶어 가볍게 즐길 수 있는 게 최고야"
영화 속 위협적인 대사 리뷰,"그 영화에서 '네 꿈은 산산조각 날 거다'라는 대사 들었어? 진짜 절망적이더라. 주인공 얼마나 힘들었을까.
응 들었어. 악역이 너무 냉정하게 말해서 더 와닿았어. 주인공의 노력이 물거품이 되는 순간이니까.
맞아. 그 대사 후에 주인공 표정이 잊혀지지 않아. 모든 의지를 잃은 듯한... 연기 진짜 잘하더라.
나도 그 장면 보면서 울컥했어. 주인공의 간절함이 느껴져서. 악당 너무 미워.
그치? 권선징악 결말이길 얼마나 바랐는지 몰라. 악당은 꼭 벌받아야 해.
당연하지. 그래야 카타르시스를 느낄 수 있잖아. 너무 답답한 결말이면 화날 것 같아.
맞아. 그래도 그 과정이 너무 고통스러웠어. 다시 생각해도 마음 아프네.
그러게. 보면서 감정 소모가 컸던 영화였어. 그래도 메시지는 분명했던 것 같아.
음... 나는 좀 더 희망적인 영화가 좋아. 보고 나서 기분 좋아지는 그런 거.
나도 가끔은 그래. 너무 어둡거나 슬픈 영화는 보고 나서 왠지 다운되잖아.
다음에는 밝고 유쾌한 영화 보자. 아니면 음악 영화도 좋을 것 같아.
좋아! 신나는 음악 들으면서 기분 전환하는 것도 괜찮겠다.
그럼 다음 주말에 뮤지컬 영화 한번 볼까?"
영화 속 폭력적인 장면 리뷰,"어제 본 액션 영화 마지막 보스전 너무 심하지 않았어? 거의 뭐 인간 샌드백처럼 맞더라.
맞아. 너무 일방적으로 맞는 장면이 길어서 좀 그랬어. 아무리 주인공이라지만 너무 심하게 당하니까 안쓰럽더라.
그러니까. 긴장감보다는 그냥 폭력적으로만 느껴졌어. 액션 디자인은 멋있었는데 폭력 수위가 너무 높았어.
나도 그 부분 보면서 눈 돌렸어. 소리만 들어도 끔찍하더라. 굳이 그렇게까지 잔인하게 표현해야 했나 싶어.
액션 영화는 좋아하지만 가끔 이렇게 과한 폭력은 좀 그래. 적당히 멋있는 액션만 보여줘도 충분한데.
맞아. 스토리도 괜찮았는데 폭력적인 장면 때문에 좀 아쉬웠어. 다음엔 좀 덜 자극적인 액션 영화 찾아보자.
아니면 아예 다른 장르 영화 보는 것도 괜찮고. 코미디나 로맨스 같은 거.
좋아! 나도 오랜만에 달달한 로맨스 영화 보고 싶다. 아니면 배꼽 빠지게 웃긴 코미디도 좋고."
영화 속 위협적인 대사 리뷰,"그 영화 악당이 '네 가장 소중한 것을 빼앗겠다'고 하는 대사 진짜 불안하더라. 뭘 뺏으려고 저렇게까지...
응. 사랑하는 사람일 수도 있고 아니면 오랫동안 간직해 온 꿈일 수도 있고... 뭘 상상하든 끔찍해.
맞아. 그래서 주인공이 더 필사적으로 싸우는 게 이해가 갔어. 잃고 싶지 않은 게 있으니까.
나도 보면서 주인공 입장에서 감정이입 많이 했어. 제발 지키라고 속으로 응원하고.
악당은 왜 그렇게까지 잔인한 걸까? 과거에 무슨 상처가 있었던 걸까? 궁금하기도 하고.
글쎄... 어떤 이유든 간에 남에게 고통을 주는 건 정당화될 수 없지. 벌받아야 마땅해.
맞아. 그래서 마지막에 악당이 어떻게 되는지가 제일 궁금했어. 통쾌하게 끝났으면 좋겠다.
나도. 너무 질질 끄는 악당 스토리는 별로야. 깔끔하게 끝내는 게 좋아.
다음 영화는 착한 주인공이 악당 물리치는 시원한 스토리로 보자. 스트레스 해소되게.
좋아! 그런 영화 완전 찬성. 보고 나면 기분 좋아지잖아."
