class,conversation
1,"야 민수야.
 어 어어.
 5만원 있지? 좀 빌리자.
 뭐.? 갑자기 5만원이나.?
 싫어?
 아 아니.
 야 싫어? 싫냐고. 싫으면 똑바로 쳐 말해.
 . 아 아니. 형민아. 그게 아니라.
 봐줬더니 기어오른다? 저번처럼 다구리 당하고 싶냐? 좋은 말로 할 때 내놔라.
 으 응. 으응. 여기. 미안해."
1,"아 오빠 나 돈 없어
아침에 엄마가 돈 주고 갔잖아
그거 문제집 사라고 준거야
아 내가 문제집 친구 동생한테 얻어 줄테니까 줘봐
안돼 오빠 왜그래 진짜
야 내가 우습냐? 진짜????
그런거 아니야
아 엄마는 사람 존나 차별한다? 너만 돈주고?
그런거아니야.
아 열받아 그 돈 반 내놔 진짜 짜증나서 다 집 부셔버리기전에"
0,"앗 뜨거! 뭐하시는거에요! 그쪽 담뱃불에 데였잖아요!
 담배 들고만 있었는데 근처로 온 사람이 잘못아녀?
 왜 반말이세요? 그리고 여긴 횡단보도 앞인데 사람들 모이는거 뻔한데 그쪽이 주의안한거잖아요
 하 진짜 별게 다 짜증나게 하네
 뭐라구요?
 너는 담배 안피냐? 좋게 말할 때 꺼져
 뭐요? 진짜 어이가 없네 그게 지금 좋게 말하는거에요?
 꺼지라고 계속 짜증나게 하면 장독에 담궈버릴거니까 그런줄 알어
 뭐? 이 사람이 미쳤나 진짜"
4,"원영 학생, 지금 잠깐 교수실로 올 수 있나?
네, 교수님. 지금 스케줄 없습니다.
혹시 괜찮다면, 오늘 내가 잠깐 중요한 일이 생겨서 그런데, 내 아들 유치원 픽업을 부탁해도 될까? 물론, 나중에 맛있는 거라도 꼭 사례할게.
교수님, 제가 지금 논문 투고 준비 때문에 정신이 없어서요. 혹시 다른 분께 부탁드려보는 건 어떨까요?
아, 그래? 30분 정도면 될 것 같은데, 혹시 시간이 정말 안 되는 건가?
교수님, 다음번에 제가 시간이 좀 더 여유 있을 때 꼭 도와드리겠습니다. 죄송합니다.
아, 알겠다. 원영 학생이 많이 바쁜 것 같네. 그럼 어쩔 수 없지.
이해해주셔서 감사합니다. 교수님.
그래, 다음에 혹시 도움 필요하면 편하게 이야기하게.
네, 감사합니다. 교수님."
3,"아 멍청한 프린터기 같으니라고
야 왜그래
프린터가 제대로 안되잖아
내가 해볼게 됐지?
오 대박
으이구 기계치
맞아
너 카톡프사도 바꿀줄 모르지?
그정도는 아니거든
에이 맞는 거 같은 데 우리할머니가 너 보다 잘하겠다"
2,"김 대리 넌 하는게 왜그러냐?
죄송합니다
아니 죄송만 하지 말고 좀 생각을 해라
죄송합니다
야 너는 부모님이 그렇게 키웠어?

제대로 일도 못하고 있는 것도 보기 싫고
죄송한데 저희 부모님은
뭐야? 너 퇴직하고 싶어?
아니요 죄송합니다"
4,"카드 사용 내역 확인 도와드리겠습니다.
카드 사용 내역이요? 저는 카드를 잘 안 쓰는데요.
혹시 자녀분께서 고객님 명의로 카드를 발급받아 사용하신 적은 없으신가요?
아들 이름으로요? 글쎄요, 잘 모르겠네요.
여기 카드 사용 내역이 나와 있습니다. 확인해 보시겠어요?
정말 우리 아들이 쓴 걸까요? 한번 확인해 볼게요.
혹시 카드 사용에 대해 더 궁금한 점이 있으시면 언제든지 연락 주세요.
네, 알겠습니다. 감사합니다.
궁금한 점이나 불편한 사항 있으시면 언제든지 연락 주세요.
네, 감사합니다."
1,"어이 거기 멸치. 이리와바.
네? 왜요.
너 돈 얼마있냐? 내가 오늘 기분이 좀 안좋아서.
돈 한푼도 없어요.정말요.
아 그러셔? 뒤져서 돈 나오면 10원당 한대다?
아니.정말.돈없어요
뭐야 30만원이 나왔네?
그건 안되요.학원비라서.
이게 정신을 맞아야 차리나 맞고 줄래? 그냥 줄래?
그냥 드릴게요."
2,"아니 글쎄 씨가
어머 사원 그렇게 안 봤는데 대박이네
무슨 얘기하고 계세요?
아 어머 아무 얘기 아니에요
여기는 공기가 안 좋나 되게 쾌쾌하다
네?
아 아니에요 근데 사원님 그러고 다니는 거 되게 꼴불견인 거 알죠
어머 왜 그래 그러지 마 우리 가자 미안해
제가 뭐 잘못했나요?
아 아냐 됐어요"
4,"최팀장, 잠시 시간 괜찮으신가요?
네, 무슨 일이시죠?
이 부분에 대해 제가 설명이 부족했던 것 같아요. 다시 한번 꼼꼼하게 확인해주시면 감사하겠습니다.
아, 네. 알겠습니다.
혹시 제가 놓친 부분이 있다면 편하게 말씀해주세요. 함께 개선해나가면 좋겠습니다.
네, 알겠습니다.
제가 더 신경 써서 꼼꼼하게 확인하겠습니다.
네, 감사합니다. 앞으로 더 좋은 결과물을 기대하겠습니다."
2,"야 너 낙하산이라며?
 아닙니다 제 실력으로 들어온겁니다.
 옆에 누가 꽂아준거라하던데
 아닙니다
 그 잘난 실력으로 그럼 이것도 좀 해줘라
 본인건 본인이 하는거 아닙니까?
 야 너 낙하산으로 들어온거 옆에 부서까지 소문나고싶냐?
 근거 있습니까?
 원래 근거는 만드는거지 말하면 다 믿어
그런."
4,"안녕하세요, 혹시 시간 괜찮으세요?
네, 잠시 괜찮아요. 무슨 일이세요?
저, 놀이터에 있는 아이가 너무 예뻐서요.
저희 아이에게 관심 가져주셔서 감사합니다.
아이가 정말 사랑스럽네요. 몇 살이에요?
5살 됐어요.
아, 정말 예쁘네요.
감사합니다. 아이가 밝게 자라줘서 저도 기뻐요.
아이와 함께 행복한 시간 보내세요.
네, 감사합니다. 좋은 하루 보내세요."
2,"아 김과장은 이제 결혼할 나이 지나지 않았나?
아. 아직은 생각 없습니다.
아니 다른 사람들 다 자기 짝 만나서 잘 장가갈때 뭐한거야?
그게 제가 원한다고 다 되는게 아닌가봅니다.
아. 제 나이에 장가 가는것도 능력이야 능력.
에이 차장님 그래도 김과장 지금 만나는 사람은 있나 봅니다.
아 그래? 누군데? 몇 살이야? 예뻐? 직업은 뭐야?
아. 때가 되면 말씀 드리겠습니다.
뭐야. 왜 이상한 사람이랑 만나? 왜 얘기를 안해줘?
다음에 얘기드릴게요."
3,"사진 봐 못생겼다
이런 댓글 달지 마세요
팩트인데 뭐
얼굴 토나온다
사진 뭐야? 눈이 너무 작아
다 신고할 겁니다
무슨 죄로?
빻았다 진짜뭐야 얼굴
메기 닮음
메기"
