topic,conversation
돈 빌리기,"저기 혹시 급하게 돈 빌릴 수 있을까?
얼마나 필요하신데요?
이번 달 월급날까지 5만 원만 빌려줄 수 있을까?
5만 원이요? 갑자기 무슨 일이 있으세요?
이번 달 지출이 좀 많아서... 월급 받으면 바로 갚을게.
네 알겠습니다 잠시만요
여기 5만 원이요
정말 고마워! 덕분에 한숨 돌렸다.
다음에 꼭 갚을게.
별말씀을요 힘든 일 있으시면 언제든 말씀하세요."
돈 빌리기,"혹시 잠깐 시간 괜찮으세요?
네 무슨 일이세요?
다름이 아니라 혹시 돈 좀 빌릴 수 있을까 해서요.
얼마나 필요하신데요? 그리고 언제까지 갚으실 수 있으세요?
10만 원 정도 빌리고 싶은데 다음 달 초에 월급 받으면 바로 갚을 수 있어요.
음... 10만 원이면 저한테도 조금 부담이 되긴 하는데...
정말 급해서 그러는데 안 될까요?
알겠습니다. 빌려드릴게요.
정말 감사합니다! 잊지 않고 꼭 갚을게요."
돈 빌리기,"저... 혹시 실례가 안 된다면 돈 좀 빌릴 수 있을까요?
갑자기 무슨 일이세요?
다름이 아니라 급하게 돈이 좀 필요해서요.
얼마나 필요하신데요?
3만 원만 빌려주시면 정말 감사하겠습니다.
3만 원이요? 언제까지 갚으실 수 있으세요?
이번 주 안으로 꼭 갚겠습니다.
알겠습니다. 잠시만 기다리세요."
돈 빌리기,"혹시 저한테 돈 좀 빌려주실 수 있으세요?
얼마나 필요하신데요?
2만 원만 빌려주시면 감사하겠습니다.
2만 원이요? 어디에 쓰시려고요?
급하게 교통비가 좀 부족해서요.
아... 그러시군요. 잠시만요."
돈 빌리기,"저기 혹시 급하게 그런데 돈 좀 빌려줄 수 있어?
얼마나 필요한데?
만 원만 빌려주면 진짜 고맙겠어.
만 원? 무슨 일 있어?
지갑을 잃어버려서...
아이고... 여기 만 원. 힘내."
돈 빌리기,"김 주임님 혹시 급하게 여쭤볼 게 있는데요. 실례가 안 된다면 돈 좀 빌릴 수 있을까요?
박 대리님 얼마나 필요하신데요? 무슨 급한 일이라도 있으세요?
네 다름이 아니라 이번 달 개인적인 지출이 좀 많아서 다음 월급날까지 7만 원 정도만 빌려주시면 정말 감사하겠습니다.
음... 7만 원이시면 흔쾌히 빌려드릴 수 있습니다.
정말 감사합니다 김 주임님! 월급 받으면 바로 갚겠습니다.
네 잊지 마시고요. 혹시 다른 어려움 있으시면 언제든 말씀하세요 박 대리님.
네 감사합니다.
별말씀을요.
다음에 커피라도 한번 살게요.
좋습니다. 잘 해결되길 바랍니다."
돈 빌리기,"최 대리님께 조심스럽게 여쭤봅니다. 혹시 개인적으로 돈 좀 빌릴 수 있을까요?
이선배님 갑자기 무슨 일이세요? 얼마나 필요하신데요?
네 다름이 아니라 갑자기 예상치 못한 지출이 생겨서 그런데 3만 원만 빌려주시면 정말 감사하겠습니다.
3만 원이시군요. 급하신 거라면 빌려드릴 수 있습니다. 언제쯤 갚으실 수 있으세요?
다음 주 금요일까지 꼭 갚겠습니다.
알겠습니다. 잠시만 기다리세요 이선배님.
정말 감사합니다 최 대리님!
천만에요.
덕분에 정말 마음이 놓입니다.
다음에 맛있는 거라도 한번 사주세요.
그렇게 하겠습니다."
돈 빌리기,"박 과장님께 실례를 무릅쓰고 부탁드립니다. 혹시 개인적으로 급하게 돈 좀 빌릴 수 있을까요?
김 대리님 무슨 일이십니까? 얼마나 필요하신지요?
네 다름이 아니라 갑자기 부모님 병원비가 급하게 필요해서 그러는데 20만 원만 빌려주시면 정말 감사하겠습니다.
20만 원... 적지 않은 금액이긴 합니다만 급하신 일이라고 하시니 빌려드리겠습니다. 언제쯤 변제 가능하실까요?
다음 달 월급날에 꼭 갚겠습니다. 정말 죄송하고 감사합니다 박 과장님.
알겠습니다. 힘든 일 있으시면 혼자 끙끙 앓지 마시고 말씀하세요 김 대리님.
정말 감사합니다.
천만에요.
덕분에 큰 도움 받았습니다.
별말씀을요. 잘 해결되시길 바랍니다."
돈 빌리기,"최 차장님께 조심스럽게 여쭤봅니다. 혹시 개인적으로 급하게 소액만 빌릴 수 있을까요?
윤 주임님 얼마나 필요하신데요?
네 다름이 아니라 오늘 점심값이 조금 부족해서 그런데 만 원만 빌려주시면 정말 감사하겠습니다.
만 원이시군요. 급하시면 빌려드릴 수 있습니다.
정말 감사합니다 최 차장님!
별말씀을요.
덕분에 점심 굶지 않아도 되겠네요.
다음에 꼭 갚겠습니다."
돈 빌리기,"부장님께 죄송한 말씀 올립니다. 혹시 개인적으로 급하게 돈 좀 빌릴 수 있을까요?
강 대리 무슨 일인가? 얼마나 필요한가?
네 다름이 아니라 갑자기 차량 수리비가 예상보다 많이 나와서 그런데 50만 원만 빌려주시면 정말 감사하겠습니다.
50만 원... 큰 금액이군. 언제쯤 변제 가능한가?
두 달 안에 꼭 갚겠습니다. 정말 죄송합니다 부장님.
알았다. 급한 일이라면 빌려주도록 하지. 힘내게 강 대리.
정말 감사합니다 부장님!
그래. 잘 해결하도록 하게.
덕분에 정말 큰 도움 받았습니다.
알겠네."
