topic,conversation
옷 빌리기,"야 혹시 너 아끼는 옷 중에 빌려줄 만한 거 있어?
무슨 옷 찾는데?
이번 주말에 중요한 자리 있는데 입을 옷이 마땅치 않아서.
어떤 스타일 원하는데? 혹시 아끼는 옷 말고 다른 건 없어?
아끼는 거 말고는 딱히... 네 옷 중에 예쁜 거 많잖아.
음... 내가 제일 좋아하는 원피스 있는데 그거 진짜 아끼는 거라...
딱 하루만 빌려주면 안 될까? 진짜 조심해서 입고 바로 돌려줄게.
하... 알았어. 근데 진짜 조심해야 해!
고마워! 진짜 깨끗하게 입고 바로 줄게!"
옷 빌리기,"야 너 옷 진짜 예쁜 거 많잖아. 혹시 빌려줄 수 있는 거 있어?
무슨 옷 필요한데?
이번 주 친구 결혼식 가는데 입을 만한 옷이 없어 ㅠㅠ
결혼식? 음... 내가 아끼는 정장 있는데 사이즈 맞으려나?
정장이면 완전 고맙지! 사이즈는 아마 괜찮을 거야.
알았어. 한번 가져가 봐. 근데 혹시 얼룩이라도 묻으면 안 돼!
당연하지! 진짜 신경 써서 입고 바로 가져다줄게. 고마워!"
옷 빌리기,"야 혹시 너 아끼는 코트 중에 잠깐 빌려줄 수 있는 거 있어?
무슨 코트 찾는데?
오늘 갑자기 너무 추워졌는데 얇게 입고 나와서 ㅠㅠ
내 제일 좋아하는 캐시미어 코트 있는데... 그거 진짜 따뜻한데...
딱 오늘만 빌려주면 안 될까? 진짜 잠깐만 입고 바로 줄게.
하... 추우면 어쩔 수 없지. 빌려줄게. 근데 진짜 조심해야 해!
고마워! 진짜 잠깐만 입고 바로 줄게!"
옷 빌리기,"야 너 옷 진짜 특이하고 예쁜 거 많잖아. 혹시 빌려줄 수 있는 거 있어?
무슨 스타일 찾는데?
이번 주말에 클럽 가는데 좀 튀는 옷이 없어서 ㅠㅠ
클럽...? 내가 아끼는 반짝이는 원피스 있는데 그거 완전 튀는데...
진짜? 딱 하루만 빌려주면 안 될까? 완전 신나게 놀고 바로 갖다줄게!
음... 신나게 놀다 보면 혹시 찢어지거나 할 수도 있고...
아냐! 완전 조심해서 놀게! 딱 사진만 찍고 바로 갈아입을게! 제발!
하... 알았어. 딱 오늘 하루만이야!"
옷 빌리기,"야 혹시 너 아끼는 가방 중에 잠깐 빌려줄 수 있는 거 있어?
무슨 가방 찾는데?
오늘 중요한 약속 있는데 들고 갈 만한 가방이 없어서 ㅠㅠ
내 제일 아끼는 명품 가방 있는데...
진짜 잠깐만 빌려주면 안 될까? 진짜 소중하게 들고 바로 줄게.
하... 빌려줄 수는 있는데 진짜 조심해야 해! 스크래치라도 나면 큰일 나!
당연하지! 진짜 내 것처럼 소중하게 들고 바로 줄게! 고마워!"
옷 빌리기,"야 혹시 네 옷 중에 괜찮은 거 있으면 이번 주말에 내가 잠깐 빌려 입어도 될까? 물론 안 되면 괜찮아!
무슨 옷 필요한데? 혹시 특별한 일 있어?
응 친구 생일 파티 가는데 입을 옷이 마땅치 않아서.
음... 내가 아끼는 옷 몇 개 있는데 혹시 마음에 드는 거 있을까?
정말? 한번 봐도 될까? 부담스러우면 안 빌려줘도 괜찮아!
아냐 괜찮아. 한번 보고 골라봐.
와 진짜 예쁜 옷 많다! 혹시 이 블라우스 잠깐 빌려 입어도 될까? 물론 안 되면 괜찮아!
그래 빌려줄게. 예쁘게 입고 와!
고마워! 진짜 조심해서 입고 바로 돌려줄게!"
옷 빌리기,"야 혹시 네 옷 중에 내가 이번 주 결혼식에 입고 갈 만한 거 있을까? 물론 불편하면 안 빌려줘도 돼!
결혼식? 어떤 스타일 생각하고 있는데? 혹시 다른 옷은 없어?
음... 딱히 마음에 드는 게 없어서. 네 옷이 예쁜 게 많길래 혹시나 해서.
내가 아끼는 원피스 있는데 혹시 사이즈 맞을까? 부담스러우면 다른 거 찾아볼게!
한번 입어볼게! 괜찮으면 빌려도 될까? 물론 안 되면 다른 옷 찾아볼게!
그래 한번 입어봐. 잘 어울리면 빌려줄게.
고마워! 혹시 안 맞으면 그냥 다른 옷 찾아볼게!"
옷 빌리기,"야 혹시 네 코트 중에 따뜻한 거 있으면 오늘 내가 잠깐 빌려 입어도 될까? 물론 불편하면 안 빌려줘도 괜찮아!
오늘 갑자기 너무 춥지 않아? 혹시 얇게 입고 나왔어?
응 ㅠㅠ 네 코트 따뜻해 보이는 거 많길래 혹시나 해서.
내 제일 아끼는 캐시미어 코트 있는데 혹시 괜찮으면 빌려줄까? 물론 부담스러우면 됐어!
정말? 너무 고맙지! 혹시 불편하면 그냥 내 옷 입을게!
아냐 괜찮아. 따뜻하게 입고 다녀와.
고마워! 진짜 잠깐만 입고 바로 줄게!"
옷 빌리기,"야 혹시 네 옷 중에 클럽 갈 때 입을 만한 좀 튀는 거 있을까? 물론 없으면 어쩔 수 없고!
클럽? 어떤 스타일 생각하고 있는데? 혹시 다른 옷은 없어?
음... 좀 화려한 거 입고 싶은데 마땅한 게 없어서. 네 옷 스타일이 좋길래 혹시나 해서.
내가 아끼는 반짝이는 원피스 있는데 혹시 괜찮으면 빌려줄까? 물론 부담스러우면 됐어!
정말? 너무 고맙지! 혹시 너무 튄다 싶으면 그냥 다른 옷 입을게!
아냐 괜찮아. 신나게 놀고 와!
고마워! 혹시 불편하면 바로 갈아입을게!"
옷 빌리기,"야 혹시 네 가방 중에 오늘 약속에 들고 갈 만한 괜찮은 거 있을까? 물론 불편하면 안 빌려줘도 괜찮아!
오늘 무슨 약속 있는데? 혹시 다른 가방은 없어?
응 중요한 약속인데 들고 갈 만한 가방이 없어서. 네 가방 예쁜 거 많길래 혹시나 해서.
내가 아끼는 가방 있는데 혹시 괜찮으면 빌려줄까? 물론 부담스러우면 됐어!
정말? 너무 고맙지! 혹시 너무 비싸 보인다 싶으면 그냥 내 가방 들고 갈게!
아냐 괜찮아. 예쁘게 들고 다녀와.
고마워! 혹시 불편하면 바로 연락할게!"
