topic,conversation
외모 놀리기,"야!! 너 오늘 머리 왜 그래?
푸하하 너야말로 옷이 그게 뭐니?
내 옷이 뭐?! 너 지금 시비 거는 거냐?
아니거든! 그냥 음 패셔니스타 납셨네?
패셔니스타는 너겠지! 얼굴이 아주 번쩍번쩍하다?
내 얼굴이 왜! 너 오늘 화장 안 했지? 퀭한데?
흥! 안 해도 너보단 낫거든!
그래그래 너 진짜 예쁘다! (비꼬는 말투)
됐거든! 너나 잘생겼다! (진심 없음)
알았어 알았어 둘 다 그만하자! 보다 보니 정들겠네 ㅋㅋㅋ
정들긴 뭘 정들어!
인정! ㅋㅋㅋ"
외모 놀리기,"어휴... 김민지 너 살 또 쪘지?
뭐?! 야!! 권수현 너 눈썰미 진짜 없다!
아닌데? 얼굴이 빵떡인데?
내 얼굴이 왜 빵떡이야! 너야말로 다크서클 봐라!
내 다크서클은 너 때문이거든?! 어제 너 때문에 잠 못 잤어!
왜? 내 얼굴 보고 놀라서? ㅋㅋㅋ
웃기시네! 너 코골이 때문에!
야! 내가 언제 코를 골았다고 그래!
증거 있어! 녹음했지롱~
헐... 너 진짜 너무한다!
푸하하하!
너 진짜... 두고 봐!"
외모 놀리기,"강태준 너 오늘따라 유난히 키가 작아 보인다?
뭐? 야! 이선우! 너 일부러 그러는 거지!
아닌데? 네 옆에 있으니 내가 더 커 보이는 착시효과?
착시는 무슨! 너 깔창 얼마나 넣었냐?
깔창 안 넣었거든! 너 비율이... 음...
내 비율이 뭐?! 너야말로 다리가 짧...
읍!읍!
푸하하하!
야!!
메롱~"
외모 놀리기,"박지윤 너 오늘 얼굴에 뭐 묻었어 ㅋㅋㅋ
어? 어디?
음... 잘생김? ㅋㅋㅋㅋㅋ
아 진짜!
농담이야~ 근데 너 오늘 좀 부었네?
아침에 라면 먹고 잤더니...
솔직하네 ㅋㅋㅋ
놀리지 마라! 너야말로 머리 떡졌어!
괜찮아~ 내일 감을 거야!
쿨하네 ㅋㅋㅋ
그럼!"
외모 놀리기,"최유나 너 안경 바꿨네?
어 어때?
음... 더 못생겨진 것 같아 ㅋㅋㅋ
야!!!
장난이야~ 잘 어울려! (진짜임)
진짜? 다행이다...
근데 너 피부 왜 이렇게 칙칙해?
밤새 게임했더니...
솔직 인정 ㅋㅋㅋ
너도 곧 그럴걸?
설마~"
외모 놀리기,"야! 김철수 너 앞머리 왜 그렇게 떡졌냐?
놀리지 마라 박선영! 너야말로 오늘 화장 떴어!
뭐?! 내 화장이 왜 떠! 너 눈 화장 번졌거든!
흥! 너보단 낫거든! 너 오늘따라 얼굴도 칙칙해 보이고!
야!!
왜! 맞는 말 했잖아!
너 진짜...
나도!
됐어!
그래!"
외모 놀리기,"이민지 너 오늘 옷 완전 할머니 스타일이다!
뭐라고?! 최지훈 너 옷은 완전 촌스러워!
내 옷이 왜! 너 가방 완전 크다! 보따리인 줄!
흥! 너 신발 더 웃겨! 깔창 얼마나 넣은 거야?
깔창 안 넣었거든! 너 키 작다고 놀리는 거지!
놀리는 거 맞아! ㅋㅋㅋ
너 진짜!
나도 너 놀릴 거 많거든!
해보시지!
좋아!"
외모 놀리기,"박수진 너 오늘 얼굴에 기름 좔좔 흐른다?
신경 꺼! 너야말로 머리 부스스해!
내 머리가 뭐! 너 볼살 완전 통통해졌어!
흥! 너는 갈수록 뼈만 남았어!
야!!
뭐! 사실이잖아!
너 진짜 너무해!
너도!"
외모 놀리기,"김현우 너 오늘 안경 이상해!
뭐?! 너야말로 렌즈 빼니까 완전 딴 사람 같아!
내 얼굴이 뭐! 너 피부 트러블 심해졌네?
신경 쓰지 마! 너 입술색 완전 창백해!
야! 너 진짜 말 심하다!
너도 만만치 않거든!
칫!
흥!"
외모 놀리기,"최민지 너 귀걸이 완전 요란하다!
뭐라 했냐? 박준호 너 머리 염색 물 빠졌잖아!
내 머리가 뭐! 너 옷 색깔 촌스러워!
흥! 너 가디건 완전 늘어났어!
야!!
왜! 있는 그대로 말한 건데!
너 진짜 짜증 나!
나도!"
