class,conversation
2,팀장님 막판 저 상사 이번주 연휴 아우 끝에 연차 연도 좀 쓰고 싶은데요 연휴 끝에는 내가 연차 년 쓰지 말랬잖아요 제가 대 . 좀 급한 일이 피리 있어서요. 안돼요. 누군 스케줄 더 안쉬고 싶어서 안쉽니까? 등급 저 극단 도 최대한 불빛 토대 일정 명제 부대 을 귀결 패 누출 바꾸려고 했는데. 그게 종말 좀 어려웠습니다. 어려워도 안돼요 연간 . 결재 다시 올리세요 연중 팀장님 평소엔 제가 잘 지키지 않습니까 이번만 패 좀 의견 부탁드립니다 누전 재환씨 회사 기적 잘리고 싶어요? 누전 팀 아우 장님. 아무리 그래도 그건. 싫으면 군말 하지말고 취소해요
3,"진짜 여기 차면 아프냐?
응.? 아프지 않을까.?
나는 없어서 내 껄 차볼 수가 없는데 니 꺼 한 번만 차보자.
굳이.그걸 해봐야 할 필요가 있을까?
아 궁금하다고. 여자는 이런 거 없잖아. 남자만 달린 거잖아
그치만. 정말 아픈데.
야 내가 차면 뭐 얼마나 쎄게 찬다고 진짜 남자새끼가 쫄보냐?
심하면.정말 문제가 생길 수도 있고.
어어 적당히 할테니까 가만히 있어. 진짜 딱 한 번만 차볼게.
.그치만.악!."
1,이게 재 뭐야 리포트 물가 ? 상수 너 잘 대가 때 내가 찍었어 왜 이런걸 찍었어 정가 ? 지워 소득 싫어 향기 원가 왜그래 내꺼야 이 사진 허락도 없이 찍은 순사 사진이 왜 니꺼야 초상권은 나한테 있어 지워. 승낙 내부 또 무슨 사진찍었어? 돈 백금 미진 주면 지워줄게 백금 내부 뭐? 너 설마 사진 한장에 재물 밥 100만원 도수 건축하 동영상 500만원으로 할게. 순리 돈주면 바로바로 집안 지워줄게. 너네집 돈 많다며 현재 원가 부 미친거아냐? 금 너네 부모님은 너 그러고 사는거 자산 알아? 흙먼지 돈 외에는 경관 받지 수익 않을게. 내가 그 정도는 해줄 수 시가 있어. 경찰에 신고 값어치 할거야. 안보내면 가치 너네 백금 부모님께 보낼거야. 돈 더 올리기전에 얼른 주고 끝내자.
2,한도 노년 어이 최대리 주간 나랑 같이 노트 한도 담배피고 올까? 커피도 눈금 대신 대 내가 사줄게. 시가 아 근데. 양지 대장 저희 업무중에 동료랑 시내 같이 담배피고 오면 벌점 춘추 받아가지고 안될거 반 사무 같아요. 벌점이 뭐가 무서워. 연막 장 같이 해리 눈금 언어 언사 가자. 그 벌점 현대 끝 체크하는거 상사 황소 내 황소 동기거든? 잘 말해둘게. 너는 벌점 체크하지 말라고. 그럼. 암소 지금 갔다 오시죠. 한가한데 주석 . 야 최대리 너 다른 부조 동료랑 담배 임 파편 용의자 향기 피고 오면 벌점이라고 한 이야기 납부 시가 거 기억나지? 대 너 벌점 4점이야. 강부장님. 말씀해주신다면서요 빨리 표 납입 벌점 조력 말해주세요. 내가 왜? 최대리가 괴사 기업 회사의 규칙 간수 을 어기고 나랑 담배피러 온 걸 벌점을 깍 생 아달라 말하라고? 너 이거 청탁이야. 얘 넓적다리 회사에서 연기 대역 소리 짤라 버려야 겠네. 아니 강부장님이 같이 피러 가자고 하신거잖아요 상사 . 제가 안된다고 했는데. 어떡하실거예요. 왜 모르는 척 하세요? 최대리 남에게 순리 넘길생각하지 마. 아무리 부장이 향내 같이 가자고 해도 넌 벌점 받을거 생각을 하고 가야하는데 너가 가 놓고 왜 남탓이야? 그러게 말이야. 대사 야 내가 연기 담배 견해 피러 단면 가자해도 춘추 너가 안 가면 방향 되는거잖아. 지도 뿌리 좋아서 가놓고 괜히 나한테 구설 큰소리치네 나원참 재판 . 이래서 연막 요즘 얘기 생 애들 무섭다니까 어쨌든 최대리 사무 벌점 4점이야. 벌점 5점 눈금 되면 기업 상상력 알지? 권고퇴사야 지출 교분 귓바퀴 잘 보이는 게 좋을거야 정도 부지 .
3,야 뭐야 너 오늘 멋 좀 냈냐? 지금 왁스 바른거야? 오늘 그냥 미소 발랐어 와 우리 명수 많이 컸네. 왁스도 바르고. 애들아 얘 봐봐. 무서워서 어떡하냐 나 좀 냅둬. 뭐? 냅둬? 미쳤네 진짜. 많이컸다 진짜? 그냥 나 가만히만 내버려둬 줘 제발. 응? 싫은데? 너 괴롭히는게 세상에서 제일 좋은데? 내가 왜? 제발. 너 오늘 한 행동 때문에라도 너 졸졸 따라다니면서 괴롭힐거야 개새끼야. 나댈걸 나대야지 진짜 개빡치게. 미안해. 다신 안 그럴게. 정말 미안해.
1,엄마 나 아들이야 내 휴대폰이 망가졌어 연기 친구 가치 관련 생모 사고 휴대폰으로 급하게 사고 신체 연락했어 왜 무슨 일이야? 현금 나 교통사고가 수확 났어 몸은 괜찮아? 외제차랑 생모 교통사고가 나서 합의금이 필요해 얼마나 드는데? 천만원 가치 으로 싸게 합의하기로 했어 계좌 사고 번호 문자로 어머님 보낼게 엄마 연기 어머님 돈이 지금 당장 없어 엄마 보험 탈 든 거 송곳니 있잖아 알겠어 해지해서 입금할게
1,부탁이 좀 있는데 300만원만 좀 보내라. 도 안 마 말 되는 소리 내 네 을 왜 들어줘야 되는데 말 할 상황이 아닐텐데? 무무슨 소리야 저번에 찍어둔 . 내 휴대폰에 있다고 뭐 에 . 하하 그걸 ? 당연히 거짓말이지. 하. 알겠어 제발 .
4,"저기 혹시 급하게 그런데 돈 좀 빌려줄 수 있어?
얼마나 필요한데?
만 원만 빌려주면 진짜 고맙겠어.
만 원? 무슨 일 있어?
지갑을 잃어버려서...
아이고... 여기 만 원. 힘내."
3,"야 너 이리와봐 경례 똑바로 안하냐?
네 죄송합니다. 
뭐가 죄송한데
경례 똑바로 안해서 죄송합니다. 
미쳤네 말대답하냐?
죄송합니다. 
너 따위 죄송 필요없고 대가리 박아 
네 알겠습니다. 
자 따라한다 실시! 
나는 구제불능이다.
나는 구제불능이다."
1,"야 형이 돈이 없어서 그런데 돈 좀 내놔라
아니 그러지마세요
이놈이 내놓으라 할때 내놔
죄송해요
아니 뭐 이런 거지가 다 있어? 야 안되겠다 너 이놈 시계라도 내놔라
아니 돈없는데 왜 또 뺏어요 제발 그만해 주세요
나 이대론 못돌아가 가진거 다 내놔!
그만해 주세요
어쭈 돈은 없는데 부모님 신용카드를 빌리고 있었구나
저 이제 가도 되죠
아니 넌 따라와 니가 부모한테 말해서 부모님 신용카드 분실신고를 하면 나 카드 사용 못하니까
저 가고 싶어요 제발"
