class,conversation
3,"어머 수지야 니 남자친구야?
어? 유리야 여기서 다 만나네. 둘이 인사해. 내 남자친구 최민기 얘는 내 대학 친구 김유리.
안녕하세요. 유리씨. 수지 남자친구입니다.
안녕하세요 민기씨! 반가워요 .
역시 이수지 남자가 절대 안끊기지 얼마나 됐다고 벌써 이렇게 멋진 사람을 만났데
네? 
아 민기씨 모르셨구나. 얘 대학교때 부터 엄청 인기 많아서 남자가 없던 적이 없었어요.
유리야 무슨 쓸데없는 말을 하고 그래. 내가 무슨 인기가 많아 니가 더 많았지.
너 그 때 기억안나? 동아리 회식 때 너 취해서 뻗었을 때 다들 데려다 준다고 오빠들이 얼마나 자기들끼리 난리였다고.
그만해
민기씨 기분 나쁜 거 아니죠? 수지가 인기 많았던 건 좋은거잖아요 
그럼요. 괜찮습니다. 과거를 연연하고 싶진 않네요. 저흰 지금 너무 좋아서요.
어머 수지 이번엔 제대로 된 사람 만났네. 얼마 전까지만 해도 이제 남자만나는 거 지겹다고 하던애가.
내가? 그건 니가 그런거 였잖아. 말 조심해.
너 웃긴다. 하긴 대학 때 니가 내 남자친구 뺐을 때부터 넌 대단하다 싶었는데 참. 
내가 뺐은거라고? 그 때 너 헤어진 뒤였고 니가 나 소개해준거였잖아. 너 갑자기 왜이래?
넌 눈치가 참 없어. 그런다고 좋다고 소개받고 사귀고 그러다 얼마 못갔지? 대단해 정말.
야 김유리 그만하자. 민기야 우리 먼저 가자."
2,부장니까 저 정말 열쇠수상하네물건주시겠어요? 왜요? 보니 뿐입니다사지가가볍게뚝 떨어져서요.을야. 가봐님 달부터 창고에서 그러고무안하네아니없어지는 는 같던데? ?? 좀 그렇잖아 . 이렇게 자주 열쇠를 주라는 흠 저것 그때그때 필요한 물건말 채울거복. 전혀 아닙니다. 누가뭐래 왜저번이렇게 발끈해? 사무실는던진 인데 오바하 것 진짜 좀땐창고아닙니다.말길동씨 내 꽉막혔다왜 이럴 그냥.유도리 있게 웃으면서? 하면 돼지 진짜가 괜히 더 이보 .네정말
0,"야 저기 저사람 보이지?
어?? 그런데 왜?
가서 저사람 뒤통수 한대 치고와
뭐라고?
못들었어?
갑자기 왜?.
재미로 하는거지 안 때리고 오면 니가 쳐맞든가 새끼야
아. 못할 것같아
그럼 니가 정신차릴때까지 맞든가 뚝배기 깨지면 정신 차리겠지 그렇지?
도데체 왜 이런일을 하는거야?
재미로하는거지 뭘 이렇게 진지해새끼야"
1,지난번 새거 쓴다고 빌려간 노트북 라도언제돌려줘? 내 그럼 당장 써야돼?테블릿당장 쓸건일단아닌데 나도 노트북이 ?가 있잖아못 넌 테블릿쓰면왜되는데 노트북도 왜 필요해? 많잖아 필요하지노트북이 그거 떨어뜨려서나서고장돌려줘?잠깐필요할사 그럼 고새거 났어 내가 고쳐볼게 고장필요하고 못? 했잖아?도 말 그거믿냐 쓴다고믿는게 아니고 못 포기하고 장난거사 너네집 돈 때
0,"소문 니가 냈지?
무슨소문이요?
내가 저쪽 마을 김씨할머니랑 붙어먹는다는거 말이야
저 아니에요. 정말이에요
웃기지마. 너 맞아
왜 이러세요. 제가 했다는 증거도 없잖아요
내 느낌이 증거야. 너 조심해
저는 정말 억울해요
조심해. 아주 그냥 니가 먹고 마시는 것마다 농약 집어넣어버릴 테니까
정말 아니라구요"
0,어제까지 완료 하기로 했던 일은 다 완료 되었나요? 어제 급한 일이 있어서 처리를 못 했습니다. 그럼 저번에 사인한 신체포기 각서 대로 실행 하겠다. 오늘까지 끝내서 전달하도록 하겠습니다. 아니 신장 하나로 모든녀석을 마무리하자. 죄송합니다. 흠 . 다음 부터는 잘 하도록 하겠습니다. 그럼 이자는 안구 하나를 추가할께. 죄송합니다.
3,어이 애자 무기 응? 나 불렀어? 안쪽 그래 애자 아들 너 요즘도 다리 자 가교 쩔뚝거리냐? 아니 제대로 걸어. 쩔뚝 난자 이 가교 가 쩔뚝 안거리고 뚜벅뚜벅 걷는구만 차도 응. 뚜벅이나 쩔뚝 속 지식 골목길 이나 기관총 정도 뭘 하든 가교 넌 애자인거 발길 알지? 장애가 있는 건 맞는데 저해 속 그렇게 불편하진 않아. 아 이새끼 말대꾸하는 것 기 봐 아니 그게 아니라.
0,"시끄러워! 시끄럽다고!
 뭘 잘했다고 이 새끼 이거 너 당장 게임 안꺼?
 시끄러우니까 나가라고
 뭐? 너 지금 아빠한테 뭐라고 한거야?
 아빠면 뭐? 아이씨
 아이씨? 이게 어디서. 너 지금 어 때리기라도 하겠다는 거야? 주먹쥐고? 그래 어디. 어디 이게 공부도 못하는게 쌈 박질만 배워 가지고 집구석에 처박혀서 허구헌날 게임이나 하고 나가서 애들을 패고 오지를 않나.
 으아아악!
 너.너 지금 뭐하는거야?
 으아아악! 죽여버릴거야!
 진정해! 일단 칼 내려놓고
 내가 죽어버리면 되지? 공부도 못하는데 죽어버리면 속 시원하겠지?
 너 그 칼 못내려놔? 이 새끼가
 으아아악! 다 죽여버릴거야!나도 죽고 다 죽여버릴거야!"
0,가 면상 재수 없으니까 에 띄지말라했지 미.미안해 미안하다면 ? 고개 푹 숙이고 다니라고 땅까지 어?. 어? 한번 해봐 고개 푹 개처러 기어봐 왜왜그래. 그래야? 맞고 할래 그냥 ? 내 뭘 그렇게 잘못했어 너 생긴게 재수 그래 빨리 야 시. 싫어?? 지금 쳐맞고 네발로 기어가게 해줄게
4,저희 건물?1층 카페 깊어졌어요님께서 커피를맛집 유명해지셨대요. 오 정말요 전 맛그냥 그랬던에서것에는같은데 무슨 비결 신가? 바꾸셨다고 하더라고요. 확실히으로커피원두향도 좋고이있으카페 사장. 저도 내일 에는아침 그 도 커피 . 마셔야겠네요한잔
