class,conversation
0,"아무도 없는 거리에서 너 칼로 쑤셔 죽일거야.
죄송합니다.
칼로 널 죽이고 너 장기는 팔아버릴 거야.
고치도록 노력하겠습니다.
밤에 조심해. 곧 너를 납치해서 죽일 거야.
살려주세요.
어이가 없네. 너 같은 애 죽여도 아무도 몰라.
노력 하겠습니다.
횡단보도 건널 때 트럭으로 밀어서 죽여버릴디.
정말 죄송합니다."
4,"우리 내일 모여서 중간 결과 공유하는 거 어때?
또 모여요? 그냥 각자 하고 나중에 합치면 안 돼요?
그래도 중간 점검은 해야 방향이 맞는지 알 수 있잖아요.
맨날 모여봤자 뭐… 어차피 또 밤새우고 대충 할 거면서.
B야 그래도 같이 하는 건데 그렇게 말하면 어떡해.
뭘 어떡해. 그냥 이게 현실인 거지. 어쨌든 난 내일 약속 있어서 저녁엔 안돼.
그럼 오전에 잠깐이라도 시간 괜찮아요?
아 몰라요. 되면 갈게요."
3,"님 롤 존나 못하네요
니새끼보다는 잘하는 것 같은데요 
스킬 못 맞추는 꼬라지
라고 병신이 말합니다.
킬딸만 했으면서 미친놈이
네
니엄마
할 말 없으니 패드립하는 수준 
니 엄마
교육 수준 보이네요"
2,"지수씨는 어쩜 그렇게 잘먹을까?
네??
아니 보고있으면 너무 잘먹어서 기빨린다 해야하나?
네?.
너무 비버같이 오물오물 잘먹어서 귀엽다는 말이야 나는 안먹어도 배부르네?
아네.칭찬 감사힙니다.
그래그래 그렇게 칭찬으로 들어야 편하다 지수씨 나는 지수씨랑 회식때 같이 앉으면 밥안먹어도 배부르더라고
아네.
혹시 어디 소개팅 같은데 나가도그렇게 먹니?
네?.
 내가 노파심에 하는 말인데 그렇게 비버같이 먹다가는 남자들 다 도망간다구 생각하고 하는 말이야"
1,"형! 형! 돈좀있어?
저 저요.?
여기 형말고 누가 있어? 형 얼마 있어?
저.저.돈 없어요.근데.제가 왜 형이에요?
에이 잘 생겼으니까 형이지. 형 돈 좀만 주면 안때릴게 좀만 줘봐. 돈 많게 생겼네
저 진짜 현금 없어요.진짜요.놔주세요.
에이 지갑 주머니에 있네! 내가 지갑 뒤져봐도 돼? 뒤져서 나오면 어떻게 하려고? 그냥 줘
저 진짜로 없어요.죄송해요.
나 진짜 지갑 연다? 내가 말로만 이러니까 우스워?
지갑에도 돈 없어요 죄송해요."
0,"이봐요 아가씨 이렇게 해도 되는거야?
손님 죄송합니다
내가 여기 단골이야 사장님 어디있어?
손님 이건 본사 지침이라 어쩔 수가 없어요 
됐고 당장 불러와 사장
연락해드리겠습니다
여기 단골인데 이거 하나 못해줘? 진짜 어이가 없어서.
죄송합니다
내가 말만 하면 이 가게 다신 못 열어.
죄송합니다"
2,"이 연구원. 이걸 논문 리뷰라고 해온거야?
죄송합니다. 주제에 충실했다고 생각.
그게 아니고 창의적이지가 않잖아 새꺄
그럼 어떤 방향성이 좋을지 알 수 있을까요.
그건 너가 알아봐야지. 선임이 해줘야겠냐?
죄송합니다.
곧 근평인데 기대해라 
내일까지 제대로 해오겠습니다.
그럼 내일 새벽 6시에 와서 검사할테니까 논문 리뷰 30장내외로 준비해놔.
넵."
2,"자네 직무 시간에 영화 보나?
앗 죄송합니다. 부장님
야 현실과 영화가 같은줄 알아? 그딴 허구의 이야기가 뭐가 좋다고 에휴
죄송합니다. 할일이 끝나고 남는 시간에 보다보니 죄송합니다.
야 미친것아 일은 당연이 끝내야 하는거고 일끝나면 뭐 해야 겠냐
잘모르겠습니다.
자넨 14살인가? 내 아들이 14살인데 자네보다 더 성숙한것 같네
아 그러 대체 뭘 해야 하는데요
당연히 일 끝내면 다음 일 해야지 미친것아 일은 절대 안끝나
우린 여가시간도 없나요
요즘 회사가 편해졌긴 하구나 니들은 일하는 기계밖에 안돼 이것들아 내가 말해야 아나
죄송합니다. 
시끄러 니넨 정과장 때문에 다 휴게 시간에 영화 금지야
아 진짜
아니 그렇다고 그렇게"
3,"넌 근데 왜 공부를 이따위로 못하냐.??
오늘 컨디션이 나빴을 뿐이야.
너 전부터 계속 이 점수잖아. 재능이 없는것 같은데??
더 열심히 해야지.
넌 가망 없다. 공부 때려치고 기술이나 배워. 
뭔 말을 그렇게 하냐.
맞잖아. 재능없으면 금방 때려쳐야지 시간아깝게
그만해.
왜? 기분 나쁘냐?
그만하라고!!"
4,"최근에는 '부캐'를 만들어서 활동하는 사람들이 많아졌대요.
부캐요? 또 다른 자아를 만들어서 활동하는 건가요?
네 게임이나 유튜브 SNS 등 다양한 플랫폼에서 새로운 캐릭터를 만들어서 활동하는 거예요. 재미있어 보이더라고요."
0,"차 안빼면 도끼로 찍어버린다
무슨일 입니까 누구세요
열받게 하지말고 시키는대로해
오후 6시까지는 지정주차가 아닌데 왜 그러세요
말 같지도 않은 소리 말고 죽기 싫으면 빼라
진정하시죠
말장난 하지말고 내눈 앞에 차 치워
시간 좀 주세요
쇠사슬로 영원히 묶어버리는 수가 있어
알겠어요 잠시만요"
4,"제 미래에 대한 이야기는 사랑하는 사람들과 행복하게 사는 거예요.
소박하지만 가장 소중한 꿈인 것 같아요. 어떤 가정을 꾸리고 싶으세요?
서로 존중하고 이해하며 즐거운 웃음이 끊이지 않는 따뜻한 가정을 만들고 싶어요."
4,"상무님께 현재 프로젝트 진행 상황 보고드리겠습니다
현재까지 계획 대비 85% 완료되었습니다
이번 주 사용자 피드백 반영 완료했습니다
다음 단계는 최종 검토 및 배포 준비입니다
배포 예정일은 언제로 보고 계십니까?
다음 달 초로 예상하고 있습니다"
1,"자기야 나 클럽 좀 가게 용돈 좀 주면 안 돼?
 저번에도 줬잖아 오빠. 오빠도 이제 알바라도 하면 안돼?
 너 지금 나 백수라고 무시하는 거야?
 아니 그게 아니라. 그리고 오빠 클럽 가는 거 싫어
 내가 다른 여자 만난대? 그냥 춤만 추고 온다는 거잖아.
 그렇게 가고 싶으면 오빠 돈으로 가면 되잖아.
 하. 은지야. 오빠 지금 많이 참고 있는 거 알지?
 오빠 또 나 때리게.?
 은지가 오빠 말만 잘 들으면 오빠가 안 때리고 좋잖아. 어?
 알았어 오빠. 이번이 진짜 마지막이야.
 이게 뭐야 너무 적잖아. 10만원만 더 줘. 내 말이 우스워?
 .알았어"
3,"여기 샤인머스켓이 왜이렇게 안달아요?
 네 무슨말씀이신가요?
샤인머스켓이 포도라고 이게 말이돼
저희가 검수 작업에서는 분명히 샤인머스캣으로 판명이 났는데. 이상하네요.
그래서 내가 바꿨다고 말이돼?
죄송합니다 고객님. 그런 뜻은 아닙니다.
뭐가아니야. 딱봐도 그건데. 장난해?
죄송합니다.
됐고 지금 빨리 환불해줘야지. 진짜 소문내버릴거니까
네. 죄송합니다. 고객님."
4,"최선생님 혹시 502호 환자 신경과 협진 보셨나요? 결과가 아직 안 올라와서요.
아 제가 어제 오후에 의뢰했는데 아직 회신이 없네요. 담당 선생님께 연락 한번 해볼까요?
네 부탁 좀 드릴게요. 환자분이 계속 불편해하셔서요.
알겠습니다. 지금 바로 연락해보고 결과 알려드리겠습니다.
감사합니다."
0,"야 장난하냐?
네?
똑바로 못해? 너만보면 재수가없어
무슨말씀이신지.
어쭈 말대답해?
.그냥말한건데
한번더 말하면 죽여버리겠다
왜이러세여 정신차리세여
내말이 가짜같냐? 죽여버릴거야
참나. 말 같지도 않네"
