idx,class,conversation
4000,일반대화,"대청소하다가 젊은 시절 아빠 사진을 찾았어.
가족앨범에 있는 사진 말고 다른 걸 찾았다는 뜻이야?
응. 아빠가 옛날에 쓰던 지갑에 있더라고. 어찌나 밝게 웃고 있는지 마음이 미어지는 것 같았어.
돌아가신 뒤에 지갑을 찾아볼 생각은 못 했네. 사진 보고 많이 울었어?
아니. 아빠 표정이 환하니까 눈물은 안 나더라고. 근데 내 기억 속에서 아빠는 한 번도 이렇게 웃은 적이 없어서 마음이 아프더라.
맞아. 그러고 보니 아빠가 언젠가부터 웃음을 잃으신 채로 일만 하셨던 것 같아. 네 말 듣고 나니 나도 마음이 참 아프다.
아빠 짐을 좀 나눠드릴걸, 생전에 더 다정하게 잘 해드릴걸. 이런저런 게 많이 후회가 돼. 이렇게 허망하게 빨리 가실 줄 알았으면 나도 아빠한테 무심하게 대하지 않았을 텐데.
너는 후회할 거 하나도 없이 다정한 딸이었어. 우리 중에 가장 애교도 많고 아빠한테 조잘조잘 이야기도 많이 했잖아. 아빠가 표현은 안 해도 네 덕에 많이 즐거워하셨어.
그랬을까? 나는 아빠가 영원히 우리 곁에 있을 줄 알았나 봐. 그럴 리가 없는데 말이야. 젊은 시절 아빠 사진을 보니까 늙어서는 너무 고생만 하다 가신 것 같아 슬퍼.
맞아. 아빠는 태어날 때부터 우리 아빠가 아니었는데 가끔 너무 당연하게 생각하면서 살았던 것 같아. 아빠도 젊은 시절 꿈이 있고 자기 인생을 즐기는 청년이었을 텐데. 그렇지?
응. 이 사진을 보니까 그게 갑자기 확 체감되는 거 있지. 먹고 사는 일이 뭐라고 아빠한테 전화 한 통 못하고 지나가는 날이 그렇게나 많았을까? 시간을 되돌릴 수만 있다면...
우리가 그런 마음으로 괴로워하면 하늘에서 아빠가 슬퍼하실 거야. 우리는 우리대로 씩씩하고 행복하게 잘 살아가자. 아빠 생각으로 많이 힘들 때마다 언니한테 기대.
언니도 힘들 텐데 내가 어떻게 기대. 만약 언니가 오늘 이 사진을 찾았다면 펑펑 울었을지도 몰라. 언니가 나보다 눈물이 더 많잖아.
그러면 같이 울지, 뭐. 원래 함께 슬퍼하면 더 빨리 회복되잖아. 우리 같이 마음껏 슬퍼하고 애도하자.
알겠어, 언니. 덕분에 많이 위로받았어."
4001,일반대화,"저 어제 잠을 한숨도 못 잤어요. 오늘 중요한 미팅이 있어서 졸면 안 되는데 말이에요. 스트레스가 쌓이니 화가 폭발할 것 같아요.
간밤에 무슨 일이라도 있었어요?
어제부터 같이 지내게 되었다는 룸메이트 말이에요. 밤새도록 코를 골아대는데 정말 미칠 노릇이에요.
얼마나 심하길래 나도 잠 못 자면 얼마나 피곤하고 짜증나는지 잘 알아서 그 기분 이해해요. 어제 제안서 쓰느라 늦게 잠들었을 텐데 너무 힘들었겠어요.
가지고 있던 이어 플러그를 끼워도 들릴 정도예요. 어떻게 해야 할지 모르겠어요.
그 동료는 본인이 그렇게 코를 곤다는 사실을 알고 있어요?
아마 모르는 것 같아요. 내가 아침에 피곤하다고 하니까 정작 본인은 푹 잤다고 하더라고요.
그럼 어제는 이사하느라 너무 피곤해서 그랬던 건 아닐까요?
그럴 수도 있겠어요. 그런데 며칠 지나고 나서도 계속 그러면 어쩌지요? 나 정말 같이 살 수 없을 것 같아요.
너무 그렇게 생각하지 말고, 일단은 좀더 상황을 지켜보는 건 어떨까요? 감정화자씨가 얼마나 짜증날지 잘 알아요. 우리 아버지도 한동안 그러셨거든요.
한동안이라면 지금은 괜찮으신 거예요? 어떻게 해결했어요?
계속 피곤해 하셔서 진료를 보았는데 구강 구조 문제였어요. 게다가 수면 무호흡증까지 생겼지 뭐예요.
지금은 나아졌다니 정말 다행이네요. 저도 한번 말해볼까 하는데 어떻게 말을 꺼내야 할까요?
룸메이트에게 우리 가족 이야기를 하면서 자세하게 설명해 보는 게 어때요? 건강을 해칠 수 있는 문제라고 하면서 말이에요.
좋은 생각인 것 같아요. 조언해 줘서 고마워요. 덕분에 잘 해결할 수 있을 것 같아요."
4002,일반대화,"자기야 나 오늘 진짜 피곤한 날이었어.
왜? 직장에서 무슨 일 있었어?
아니, 내가 오늘 자다가 내 잠꼬대에 놀라서 소리 지르면서 깼거든.
아이고 그랬어? 한번 깨어서 그 뒤로 잠을 계속 설친 거야?
응. 무슨 꿈을 꾸었는지는 기억 안 나는데 내가 뭐라고 잠꼬대하다가 소리 지르면서 일어났거든. 나 혼자 자는데도 놀란 게 너무 부끄러운 거야.
우리 여행 가서 같이 잘 때도 자기 가끔 잠꼬대하는 경우가 있더라.
정말? 나 잠꼬대한다고 왜 미리 말 안 해줬어! 나 잠꼬대로 뭐라고 해?
그때는 아침에 뭐 먹을지 메뉴 정하던데? 그리고 매번 그러는 것도 아니고, 자기 잠꼬대하는 거 귀여워서 듣고 있는 것도 좋아한단 말이야.
그게 뭐야. 더 부끄러운 말이잖아. 문제가 있으면 미리 말을 해줬어야지.
문제라고 생각하지 않아서 그랬어. 피곤할 때 잠꼬대하는 사람들이 얼마나 많은데? 너무 부끄러워하고 마음 쓰지 말았으면 좋겠어. 괜찮아.
그래도 나는 기억 안 나는데 나 혼자 잠꼬대하는 걸 남들이 들을 수 있는 거잖아. 뭐라고 말할지 걱정된단 말이야.
하긴, 나 같아도 내가 잠꼬대를 한다고 하면 신경 쓰이고 좀 걱정되긴 할 거 같아. 피곤한 날 잠들기 전에 음성녹음 켜두고 자보는 건 어때?
그럴까? 도대체 뭐라고 말하는지 나도 좀 알아야 걱정 없이 자겠어.
난 괜찮다고 생각하지만 걱정된다면 숙면에 도움 되는 방법들도 같이 찾아볼까? 멜라토닌이 많다는 타트체리 주스를 마신다거나 수면 클리닉을 찾아가 보는 거야.
좋은 방법이네. 잠꼬대로 클리닉 가기는 좀 부담스럽고 자기 말대로 주스부터 시켜서 마셔봐야겠어. 신경 써줘서 고마워."
4003,일반대화,"어제 제가 회사에서 점심시간에 읽고 있던 책 기억나요?
네, 제가 재밌게 읽었던 책이라 저도 모르게 결말을 말해버렸던 그 책 말이지요?
네, 집에 가서 책을 읽으려고 펴니까 다시 읽기가 싫더라요. 결말을 알아버리니 그전처럼 재밌지가 않더라고요. 솔직히 좀 짜증나고 화나요.
미안해요. 나도 집에 와서 생각해 보니까 내가 실수했다 싶었어요. 그럴 때 내가 결말을 이야기해버리니 감정화자씨가 얼마나 허무하고 실망스러웠을까 생각했어요.
나도 그때는 당황해서 제대로 반응하지 못했는데 책을 읽으려고 보니까 결말을 그런 식으로 알아버리게 된 것이 분하고 허탈하더라고요.
미안해요. 어떤 결말로 진행이 될까 재미있게 읽고 있는데 저 때문에 짜증도 나고 의욕도 사라졌겠어요.
최근에 그 책을 읽는 게 가장 즐거운 일이었는데 말이에요. 다시 읽으려고 해도 그 책으로는 이제 도저히 손이 안 가요.
나도 그 즐거움을 아는 사람으로서 그 마음이 어떤 마음인지 너무 잘 알아서 더 미안해요.
대리님도 일부러 그런 게 아니라는 거 알아요. 다만 흥미를 잃게 돼서 아쉬운 마음이 들어서 그렇요.
이해해 줘서 고마워요. 김이 팍 새어버렸을 텐데요. 혹시 괜찮다면 내가 책 선물을 해도 될까요?
혹시 미안해서 그런 거라면 괜찮아요. 그냥 투정을 부려본 거예요.
감정화자씨가 나 때문에 읽는 즐거움을 읽어버렸다고 생각하니까 나도 너무 속상해요. 내가 선물하고 싶은 책이 그 즐거움을 되찾아 줄 거라고 생각해요.
그렇게까지 말하니까 무슨 책인지 조금 궁금한걸요?
내가 가장 재미있게 읽은 책이에요. 이번엔 실수로라도 결말을 말하는 일은 없을 거예요.
알겠어요. 다시 한번 독서의 흥미를 불태워볼게요."
4004,일반대화,"어떻게 내가 회장 선거에서 떨어질 수가 있지? 친하다고 생각한 친구들에게 상처를 받은 기분이야.
작년에도 회장을 했었는데 왜 떨어진 거야?
모르겠어, 얼마 전에 전학온 애가 갑자기 회장이 됐어.
아, 그 친구 공부도 엄청 잘하고 여학생들한테 인기가 많다며?
나도 친구들한테 더 친절히 대하고 공부도 열심히 하고 노력했는데 결국 그 친구가 됐어.
획득한 표 수가 비슷했다면서? 네 인기도 여전한 거잖아.
나도 그렇게 생각하고 있었는데 투표 결과를 보고 나니 그동안의 내 노력은 허사가 되었나보다 하는 생각이 들. 대체 그 친구는 무슨 매력이 있는 거지?
그 친구도 분명 매력이 있지만 너도 충분히 회장 될 만한 능력도 있고 매력도 있. 내 생각엔 새로운 친구에 대한 관심이 아니었을까?
단순히 그런 거였으면 좋겠지만 만약에 친구들이 내게 등을 돌리고 그 친구에게 모두 가버리면 어떻게 하지?
투표 결과만 보고 그렇게 생각하지 . 네가 당선되지 못한 것에 대해 아쉬워하는 친구들이 많기도 하고, 사실 너만큼 열심히 하는 회장이 흔한 건 아니거. 친구들은 네가 리더십도 있고 책임감도 강하고 친구들과의 관계가 좋다는 걸 다 아니까 다음엔 꼭 뽑힐 거야.
그렇게 얘기해주니 그동안의 내 노력이 헛되지 않은 것 같아서 마음이 좀 편해지네.
그런데 새로 회장이 된 친구는 전학온 지 얼마 안 돼서 학교 사정도 잘 모를 텐데 아무래도 네가 좀 도와줘야 할 것 같지 않니?
그렇겠네. 처음에는 회장 일 잘 못했으면 좋겠다는 생각을 했는데 네 이야기를 들어보니 내가 좀 도와줘야 할 것 같아.
너는 역시 멋진 리더야. 회장이 된 친구도 엄청 든든해하겠어."
4005,일반대화,"경비 아저씨가 우산에서 물 떨어진다고 소리치더라.
대뜸 소리를 지르니 많이 당황스러웠겠네. 물이 많이 떨어졌어?
입구에서 털었는데 그럴 리 없지.
억울하고 기막힐 일이네. 자기는 항상 우산 탈탈 털고 들어가는데.
화장지로 바닥 닦아서 물기 없는 거 보여주니까 버럭 화를 내는 거야.
민망하고 어이없어서 말도 제대로 안 나왔겠구나. 사과는 안 하고 더 목소리를 높이니.
응, 막 분하고 얼굴이 화끈거리고 어쩔 줄 모르겠더라고.
그랬겠다. 이유 없이 그런 봉변을 당하면 나라도 엄청 답답하고 화났겠어.
나중에는 눈물이 핑 돌더라.
부모님한테도 큰소리 들은 적 없는데 생판 남한테 그런 대우를 받았으니 얼마나 서러웠을까.
잘잘못을 따지기라도 할걸.
자기가 현명하게 잘 참았어. 말 안 통하는 사람이랑 대거리했으면 기분만 더 상했을 거야.
그래도 자기한테 말하니까 속이 좀 풀린다.
맘고생 진짜 많았어. 불쾌하고 속상하겠지만 담아두지 말고 잊어버려. 힘내고."
4006,일반대화,"나 술이 확 깰만한 일이 있었어.
무슨 일인데 그래?
엄마가 빨리 집에 들어오라고 재촉하는데, 오늘 술자리가 너무 재밌어서 지하철 끊기기 직전까지 놀았거든.
어쩐지 엄마가 언니 늦는다고 계속 걱정하더라.
겨우 지하철 타러 뛰어 내려갔는데 문이 막 닫히는 거야. 그걸 비집고 들어가다가 문에 몸이 제대로 끼었어.
어머 어떻게 해. 그래서 어떻게 됐어? 안 다쳤어?
너무 창피해서 다쳤는지는 모르겠고 문이 다시 열리더라고. 근데 막차라 놓치면 안 되겠다 싶어서 다시 비집고 탔어.
타서 다행이긴 한데, 엄청 당황스러웠겠다.
꽉 끼어 있는데 사람들이 다들 나만 쳐다보는 것 같아 창피해서 고개를 못 들겠더라고.
그 상황에서는 나였어도 고개를 못 들지. 하지만 그 지하철 안에 있던 사람들은 그렇게라도 탈 수밖에 없었던 언니를 이해했을 거야.
그랬을까? 나는 이 좁은 데를 술 냄새 팍팍 풍기며 끼어 탔다고 사람들이 나를 욕하는 것 같아서 고개도 제대로 못 들고 있었거든.
그렇지 않아. 동병상련이라고 그 사람들도 언니와 같은 상황들이었을걸. 모르긴 해도 저 아가씨 타서 다행이다 생각하고 있었을 거야.
오는 내내 쥐구멍이라도 들어가고 싶었는데 네가 그렇게 얘기를 해주니 조금은 다행이다 싶다.
어쨌든 무사히 도착해서 다행이야. 얼른 들어와. 다친 데 없나 좀 살펴보게.
네가 언니가 된 것 같다. 고마워. 거의 다 왔으니까 금방 들어갈게."
4007,일반대화,"중고마켓에 책을 팔기로 했는데 아직 거래도 하기 전인데 짜증 나 죽겠네. 이 사람한테는 그냥 안 팔까 봐.
왜 그래? 무슨 일 있어?
아니. 구매자가 연락이 왔는데 자꾸 금액을 깎으려고 해. 처음에 조금 깎아 드렸는데 계속 더 싸게 달라고 하셔. 이게 바로 말로만 듣던 중고마켓 거지인가?
뭐? 너도 어느 정도 금액을 생각하고 있는데 자꾸 그러면 곤란하고 짜증 나지. 너 정말 화나겠다.
응 진짜. 계속 그러니까 머리 꼭대기까지 열이 뻗치네. 아무튼 그래서 내가 딱 잘라서 안 된다고 말씀드리긴 했어.
잘했어. 너무 무리한 요구란 걸 그분도 알 필요가 있지.
그랬더니 나한테 구두쇠라면서 비꼬는 거 있지? 진짜 미친 거 아니야? 내가 구두쇠이면 애초에 처음부터 가격도 안 깎아줬겠지.
아이고, 너는 너 나름대로 호의적으로 처음에 가격까지 내려줬는데 그런 말을 들었다니 진짜 많이 화나겠는걸. 나 같아도 너무 짜증 날 거 같아.
내 말이. 그래서 아니, 처음에 내가 금액 내려주지 않았느냐고 따지니까 그렇게 팔아서는 아무도 안 산다고 막 폭언하는 거 있지. 누군 손가락 없어서 폭언을 못하는 줄 아나.
중고마켓에 신고 기능 있지 않아? 당장 신고하자. 그런 사람은 구매자로서 예의를 갖추지 않았다고 생각해. 말을 그렇게 하면 안 되지.
방금 너 문자 받고 바로 신고했어. 내가 너무 예민하게 받아들이는 건 아니지? 내가 별것도 아닌 거에 너무 분노하나 싶었어.
네가 예민하게 받아들일 거 없다고 생각해. 그 사람이 무리한 요구를 한 거잖아. 너는 충분히 거래를 이어가려고 노력했고, 그러니까 그런 사람 때문에 네가 마음 썩이지 않았으면 좋겠어.
내가 화가 많은 사람인가 순간 자괴감 들었었는데 네가 그렇게 말해주니까 너무 위로가 된다. 고마워.
네가 잘못한 거 절대 아니니까 너무 신경 쓰지 마. 중고 물건 하나 팔려고 했다가 폭언까지 듣고 진짜 고생했네. 잠깐 나올래? 내가 달달한 간식이라도 사줄게.
정말? 나야 좋지. 남아도는 게 시간인데. 얼른 준비하고 내가 다시 문자 할게. 사거리 카페에서 보자.
그래. 천천히 준비하고 나와. 먼저 가서 기다리고 있을게."
4008,일반대화,"언니, 나는 왜 이렇게 못났을까. 세상에서 내가 제일 못난 거 같아.
갑자기 왜 그래? 공부가 잘 안 돼서 그러는 거야?
같이 공무원 시험 준비하던 친구가 취직 준비도 같이 했는데 취직 성공했어. 이제 내 주변 친구들 중 직장이 없는 건 나뿐이야. 마음이 너무 아파.
그런 일이 있었구나. 같이 공부하던 친구가 잘되면 솔직히 정말 힘이 빠지지. 많이 속상하겠다.
친구들은 다 좋은 회사에 다니면서 돈 벌고 즐기는데 나만 도서관에 처박혀 있어. 내 자신이 자꾸만 작아지는 거 같아서 우울해.
동생아, 너는 네 꿈을 위해 준비하고 있는 거야. 그 친구들도 다 노력해서 취직을 한 거고. 너도 곧 네 꿈을 이뤄서 직장을 가지게 될 거야, 조금만 버텨보자.
나도 그렇게 생각하면서 버티는데 그게 잘 안 되네. 내가 너무 무가치하게 느껴져.
당연히 그럴 거야. 너는 노력하고 있는데 제자리에 멈춘 거 같고 남들은 너를 제쳐서 빠르게 달리는 것 같고 말이야. 하지만 그렇다고 네가 늦었다는 뜻은 아니야.
내가 늦은 게 아닐까? 나는 늦어도 한참 늦은 거 같아.
아니, 그들과 너는 달라. 너는 네 시간으로 준비하고 있는 거야. 지금 버티고 있는 시간이 결코 무가치하지 않다는 거 너도 속으로는 잘 알고 있지 않니?
그래, 나도 알아. 아는데 오늘따라 유난히 조급해졌나봐.
시험을 준비하는 건 외로운 일이니 당연히 조급해지고 불안해질 수밖에 없어. 하지만 그걸 버텨내는 것도 네가 할 일이야. 그리고 넌 그걸 반드시 이겨낼 거야.
언니, 정말 그렇게 생각해?
그럼, 네가 어려운 환경에서도 포기하지 않고 네 꿈을 위해 매일 노력하는 모습이 나는 자랑스러워. 너는 언제나 목표를 이루었었고 이번에도 그럴 거야. 언니는 너를 믿어 그러니 힘을 내자, 응?
알았어. 나 진짜 다시 힘을 내볼게. 고마워, 언니!"
4009,일반대화,"자기야, 내일 우리 어디 놀러 갈까? 그냥 좀 멀리 바닷가 같은 곳에 가고 싶어.
내일 오후에는 시간이 될 것 같아. 답답한 일이라도 있는 거야? 갑자기 바다라니?
자기도 알다시피 내가 언니랑 같은 방 쓰는 거 때문에 힘들잖아. 어제 방 청소 때문에 심하게 싸웠어.
청소를 하면 깨끗해지고 좋으니까 다툴 일이 없을 것 같은데, 왜 언니랑 싸웠을까?
자기 음악 듣는데 청소기 소리가 시끄럽다는 거야. 지금 꼭 청소해야겠냐고 해서 나도 받아쳐 버렸어.
언니가 같이 청소를 해주면 좋았을 텐데. 자기 마음은 알아주지 않고 언니 시간만 소중한 거 같아서 참을 수 없었겠어.
우리 집 사정에 독방을 쓸 수도 없는데... 하루하루 부딪치고 동생이라 어쩔 수 없다는 게 화가 나.
동생이라서 그렇다는 건 내가 생각해도 좀 그래. 이제 둘 다 성인이잖아. 사이가 좋을 때가 있었던 걸로 기억하는데, 같은 방을 쓰면서부터 그런 거야?
어릴 때는 내가 언니를 무척 따랐어. 그런데 나이가 들면서 우리가 서로 다르다는 것을 깨달으면서도 계속 부딪히는 거 같아.
신혼부부가 아주 사소한 생활 방식 때문에 싸운다고 하잖아. 자매도 다르지 않은 거지. 독립적인 공간에 있다가 함께 있게 되었으니 서로의 방식을 이해하려는 노력은 힘들겠지만, 다르다는 것은 인정해야 하지 않을까?
나만 인정하면 되는 게 아니라, 언니도 인정해야 하잖아.
물론 그렇지. 그러기 위해서는 서로의 노력이 필요할 거야. 일단은 언니와 감정적이지 않게 대화를 하는 게 중요할 것 같아.
응, 대화의 필요성은 나도 느끼고 있어. 눈빛만 봐도 으르렁거리는 것도 피곤해.
그래, 퇴근길에 치맥이라도 한잔하자고 하면서 말을 꺼내 봐.
그래야겠어. 고마워, 자기야. 언니랑 잘 대화해 보도록 나부터 노력할게."
