topic,conversation
오늘 하루 있었던 일,"퇴근길이네요! 오늘 하루 수고 많으셨어요.
네 수고하셨습니다. 특별한 일은 없으셨어요?
회사에서 재미있는 에피소드가 있었어요.
오 뭔데요? 궁금하네요!
저희 팀 막내가 실수로 부장님 서류 위에 커피를 쏟았어요.
맙소사! 부장님 괜찮으셨어요?
다행히 크게 화는 안 내셨고 오히려 웃으면서 넘어가셨어요.
정말 다행이네요. 그런 유쾌한 부장님 밑에서 일하시니 좋으시겠어요.
네 덕분에 분위기가 좋아요. 힘든 일 없으셨어요?
일이 잘 안 풀려서 조금 힘들었네요.
그러셨군요. 퇴근하시고 맛있는 닭갈비 드시면서 기분 푸세요!"
오늘 하루 있었던 일,"점심 뭐 드셨어요?
비빔밥 먹었어요. 맛있더라고요.
오 저도 비빔밥 좋아하는데! 어디서 드셨어요?
회사 근처에 새로 생긴 식당인데 나물도 신선하고 좋았어요.
다음에 한번 같이 가봐야겠네요. 오후에는 어떤 일 있으셨어요?
중요한 계약 관련 회의가 있어서 조금 정신없었어요.
아 힘드시겠네요. 회의 잘 마무리되셨어요?
네 다행히 큰 문제없이 끝났어요. 이제 퇴근하고 쉬어야죠.
정말 수고 많으셨어요!
네 OO님도 퇴근 잘 하시고 편안한 저녁 보내세요."
오늘 하루 있었던 일,"아침에 지하철이 너무 붐벼서 힘들었어요.
정말요? 저는 버스 탔는데 그것도 만원이었어요.
출근길은 항상 전쟁인 것 같아요. 특별한 일 있으셨어요?
새로운 마케팅 전략 발표가 있어서 긴장했었어요.
발표 잘 하셨어요? 결과가 궁금하네요!
네 다행히 반응이 좋았어요. 덕분에 기분이 좋네요.
정말 축하드려요! 역시 OO님은 대단하세요.
감사해요. 하루 잘 보내셨길 바라요.
네 저도 별일 없이 무난한 하루였어요."
오늘 하루 있었던 일,"날씨가 정말 좋네요. 점심시간에 공원 산책 다녀오셨어요?
네 잠깐 회사 앞 올림픽공원에 다녀왔어요. 꽃이 많이 피었더라고요.
저도 나가볼 걸 그랬네요. 요즘 날씨가 좋아서 기분까지 좋아지는 것 같아요.
맞아요. 이런 날은 어디든 떠나고 싶어지네요.
그러게요. 주말에 계획 있으세요?
아직 특별한 계획은 없어요. 그냥 집에서 넷플릭스나 볼까 생각 중이에요.
저도 비슷해요. 오랜만에 푹 쉬고 싶네요.
남은 시간도 즐겁게 보내세요!
네 OO님도 즐거운 저녁 되세요."
오늘 하루 있었던 일,"오늘 커피 맛이 평소보다 더 좋았던 것 같아요.
정말요? 저는 오늘따라 커피가 쓰게 느껴졌어요.
기분 탓인가 봐요. 기분 좋은 일 있으셨어요?
음... 특별한 건 없었는데 아침에 좋아하는 잔나비 노래를 들으면서 와서 그런가?
역시 음악의 힘은 대단하네요! 퇴근길에 신나는 블랙핑크 노래 들어야겠어요.
추천해 드릴까요? 요즘 제가 푹 빠져있는 노래가 있는데...
오 좋아요! 어떤 노래인데요?
아이유의 라일락이라는 곡인데 한번 들어보세요.
감사합니다! 퇴근하고 꼭 들어볼게요."
오늘 하루 있었던 일,"시간이 정말 안 가는 것 같아요.
저도요. 벌써 이렇게 늦었는데 아직도 할 일이 많네요.
마감일이 얼마 안 남아서 그런가 봐요. 힘내세요!
OO님도 힘내세요! 재미있는 일 없으셨어요?
재미있는 일이라... 글쎄요. 아 점심시간에 길에서 귀여운 말티즈 강아지를 봤어요.
정말요? 무슨 종이었는데요? 너무 귀여웠겠네요!
푸들 같은 작은 강아지였는데 사람을 졸졸 따라다니더라고요.
상상만 해도 귀엽네요. 그런 작은 행복이 하루의 활력소가 되는 것 같아요.
맞아요. 얼른 퇴근해서 쉬고 싶네요."
오늘 하루 있었던 일,"회의에서 부장님 말씀이 너무 길어서 힘들었어요.
맞아요. 저도 집중하기 힘들더라고요.
다음 회의 때는 좀 더 간결하게 진행되면 좋겠어요.
그러게요. 다른 힘든 일은 없으셨어요?
오전에 갑자기 예상치 못한 서버 오류가 생겨서 당황했어요.
어떻게 해결하셨어요? 많이 힘드셨겠네요.
다행히 팀원들 도움으로 빠르게 해결했어요. 역시 팀워크가 중요하다는 걸 다시 느꼈죠.
정말 다행이네요. 혼자 해결하기 어려운 일은 같이 해야죠.
하루도 고생 많으셨어요."
오늘 하루 있었던 일,"새로운 웹사이트 개편 프로젝트 팀이 꾸려졌는데 OO님도 같이하게 됐어요!
정말요? 잘 됐네요! 같이 좋은 결과 만들어봐요.
저도 OO님과 함께하게 돼서 기대돼요. 앞으로 잘 부탁드립니다.
저야말로 잘 부탁드립니다. 팀 회의는 언제쯤 할까요?
아마 내일 오전에 간단하게 OT를 할 것 같아요. 자세한 건 다시 공지해주신대요.
알겠습니다. 새로운 프로젝트 잘 해봅시다!
네 화이팅입니다! 남은 시간도 즐겁게 보내세요."
오늘 하루 있었던 일,"회사 식당에 새로운 메뉴가 나왔는데 드셔보셨어요?
아니요 아직 못 먹어봤어요. 어떤 메뉴인데요?
매콤한 제육볶음 덮밥인데 생각보다 맛있더라고요.
오 매콤한 거 좋아하는데! 내일 점심에는 그걸 먹어봐야겠네요.
네 한번 드셔보세요. 후회 안 하실 거예요.
좋은 정보 감사합니다. 특별히 힘든 일은 없으셨어요?
보고서 작성할 게 많아서 조금 지치네요.
그러시군요. 퇴근하시고 푹 쉬세요.
네 OO님도 편안한 저녁 보내세요."
오늘 하루 있었던 일,"고객사에서 긍정적인 피드백을 받아서 기분이 좋네요.
정말요? 어떤 내용이었는데요? 궁금하네요!
저희가 제안했던 새로운 광고 아이디어에 대해 긍정적인 반응을 보여주셨어요.
와 정말 잘 됐네요! 역시 OO님의 실력은 최고예요.
감사합니다. OO님 덕분에 좋은 결과를 얻을 수 있었어요.
아니에요 다 같이 노력한 덕분이죠. 기분 좋게 퇴근할 수 있겠네요.
맞아요! 저녁은 맛있는 스테이크로 먹어야겠어요.
좋은 생각이에요! 저도 그래야겠어요."
